2025-10-29 16:05:11 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 16:05:26 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 16:06:00 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 16:09:20 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 16:10:16 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 16:11:31 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 16:11:57 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 17:19:46 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 17:19:49 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 17:20:09 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 17:41:25 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 17:55:11 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 18:09:19 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 19:46:12 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:18:11 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:21:32 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:44:36 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:44:39 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:55:35 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:56:08 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 20:56:32 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 21:03:14 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 21:03:15 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 21:15:09 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:17:52 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:17:56 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:17:56 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:22:06 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:22:25 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:25:15 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:25:18 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:25:22 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:25:23 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:32:25 - Lat: 14.6833408, Lon: 121.0548224
2025-10-29 22:32:29 - Lat: 14.6833408, Lon: 121.0548224
2025-11-01 10:59:27 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 20:14:25 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 20:55:15 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:29:12 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:29:18 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:29:37 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:30:24 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:38:01 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:38:05 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:40:13 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 21:44:23 - Lat: 14.6407424, Lon: 121.0318848
2025-11-01 22:27:30 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 10:53:22 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 13:01:34 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:31:07 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:31:32 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:32:32 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:32:58 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:33:20 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:33:33 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:33:42 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:34:38 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:34:45 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:38:33 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:39:05 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:39:48 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:40:20 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:40:37 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:44:20 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:44:29 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:46:35 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:48:00 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:49:43 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:52:23 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:54:32 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:58:22 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:58:40 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 14:58:59 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:00:59 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:02:28 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:03:27 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:04:07 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:04:24 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:05:33 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:05:52 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:06:41 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:07:33 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:07:40 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:08:30 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:11:01 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:11:16 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:11:55 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:12:23 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:13:47 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:14:01 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:15:16 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:15:32 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:16:55 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:22:17 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:22:48 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:23:22 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 15:25:02 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 18:24:29 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 18:53:00 - Lat: 14.6407424, Lon: 121.0318848
2025-11-02 23:56:26 - Lat: 14.6407424, Lon: 121.0318848
2025-11-03 00:26:34 - Lat: 14.6407424, Lon: 121.0318848
2025-11-03 01:00:28 - Lat: 14.6407424, Lon: 121.0318848
2025-11-03 01:00:30 - Lat: 14.6407424, Lon: 121.0318848
2025-11-03 17:46:43 - Lat: 14.6440192, Lon: 121.0351616
2025-11-03 23:20:24 - Lat: 14.6440192, Lon: 121.0351616
2025-11-03 23:23:03 - Lat: 14.6440192, Lon: 121.0351616
2025-11-03 23:26:51 - Lat: 14.6440192, Lon: 121.0351616
2025-11-03 23:36:50 - Lat: 14.6440192, Lon: 121.0351616
2025-11-03 23:37:10 - Lat: 14.6440192, Lon: 121.0351616
2025-11-03 23:37:24 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:08:03 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:08:08 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:08:33 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:18:00 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:52:02 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:55:16 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:56:27 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:56:28 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:56:29 - Lat: 14.6440192, Lon: 121.0351616
2025-11-04 00:56:29 - Lat: 14.6440192, Lon: 121.0351616
