epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,701.327,2.00905,1.75044,1.27818,0.37855,0.19959,0.14182,0.08375,2.0018,1.91984,1.33945,0.000726694,0.000726694,0.000726694
43,717.969,1.96663,1.76062,1.277,0.70842,0.08095,0.10524,0.04936,2.05096,1.8656,1.34077,0.000720028,0.000720028,0.000720028
44,735.269,1.9426,1.74664,1.23778,0.22186,0.14752,0.12259,0.05385,1.99788,1.91272,1.33569,0.000713362,0.000713362,0.000713362
45,751.849,2.02385,1.75169,1.26753,0.44974,0.25181,0.15111,0.0721,2.07791,1.83927,1.37551,0.000706696,0.000706696,0.000706696
46,768.291,1.94653,1.74672,1.25572,0.5881,0.2219,0.14711,0.07233,2.02226,1.84365,1.35235,0.00070003,0.00070003,0.00070003
47,784.772,1.97722,1.74988,1.26377,0.32508,0.12585,0.11674,0.05671,2.03041,1.9353,1.35673,0.000693364,0.000693364,0.000693364
48,801.936,1.9509,1.7523,1.2815,0.57497,0.1087,0.12756,0.06253,2.01178,1.86221,1.33411,0.000686698,0.000686698,0.000686698
49,818.362,1.96479,1.72105,1.262,0.32562,0.19799,0.15202,0.07367,1.98836,1.92947,1.32817,0.000680032,0.000680032,0.000680032
50,834.872,1.9388,1.70948,1.26508,0.4239,0.15235,0.12289,0.06225,2.04598,1.83183,1.36872,0.000673366,0.000673366,0.000673366
51,851.492,1.96091,1.69818,1.2723,0.31937,0.1158,0.13932,0.07717,2.06983,1.88752,1.36884,0.0006667,0.0006667,0.0006667
52,868.516,1.95169,1.71201,1.24485,0.30514,0.22763,0.11938,0.05907,1.99505,1.86188,1.34719,0.000660034,0.000660034,0.000660034
53,884.852,1.93787,1.71477,1.26,0.31056,0.14382,0.1619,0.08021,2.0698,1.84886,1.35712,0.000653368,0.000653368,0.000653368
54,901.25,1.89414,1.6795,1.24551,0.51965,0.2166,0.17665,0.08672,2.03218,1.85606,1.33583,0.000646702,0.000646702,0.000646702
55,918.017,1.9644,1.72514,1.26205,0.18514,0.30298,0.23025,0.11066,2.0411,1.7928,1.3375,0.000640036,0.000640036,0.000640036
56,935.036,1.94151,1.68537,1.2537,0.43709,0.1195,0.13941,0.07378,2.01919,1.87135,1.32261,0.00063337,0.00063337,0.00063337
57,951.477,1.93513,1.70373,1.25418,0.55949,0.1095,0.15008,0.07684,2.03049,1.93188,1.34518,0.000626704,0.000626704,0.000626704
58,968.286,1.91653,1.68027,1.24802,0.3544,0.15333,0.14369,0.06202,2.04033,1.84807,1.354,0.000620038,0.000620038,0.000620038
